algorithm,n_servers,cpu_util_pct,avg_runtime_s,avg_cost,improvement_over_greedy_pct,feasible_pct
Simulated Annealing,20,26.3,6.0621,1.7099,15.69,100.0
Simulated Annealing,15,33.7,5.0739,1.7242,15.18,100.0
Simulated Annealing,10,52.9,5.7954,1.8112,9.98,100.0
Simulated Annealing,8,63.0,5.9610,1.8228,8.82,100.0
Simulated Annealing,6,80.6,5.7891,0.7808,3.44,100.0
Genetic Algorithm,20,26.3,5.2228,1.7168,15.35,100.0
Genetic Algorithm,15,33.7,5.2381,1.7290,14.94,100.0
Genetic Algorithm,10,52.9,5.1975,1.8131,9.89,100.0
Genetic Algorithm,8,63.0,5.2328,1.8282,8.55,100.0
Genetic Algorithm,6,80.6,5.2213,0.7817,3.34,100.0
UMDA (EDA),20,26.3,4.5731,1.7156,15.41,100.0
UMDA (EDA),15,33.7,4.6875,1.7294,14.93,100.0
UMDA (EDA),10,52.9,4.7995,1.8141,9.84,100.0
UMDA (EDA),8,63.0,4.5635,1.8314,8.39,100.0
UMDA (EDA),6,80.6,4.5186,0.7851,2.91,100.0
