population_size,crossover_prob,mean_F,std_F,mean_time_s,feasible_pct
25,0.6,1.1221094488119916,0.009549284096254435,2.680159833335589,100.0
25,0.8,1.1193199030027274,0.006409342729926217,2.5075619333365466,100.0
25,0.95,1.1313034576845706,0.0032416631847780922,2.5973524666575636,100.0
50,0.6,1.1307023259582933,0.008686785765512567,2.733542566667893,100.0
50,0.8,1.1177268800921047,0.005803695467940006,2.557940966663106,100.0
50,0.95,1.128772805509913,0.0030296579969974684,2.746550333336927,100.0
100,0.6,1.1241075084138918,0.0020613784778823257,2.8858461333293235,100.0
100,0.8,1.1252454018082807,0.008912762659100315,3.040521899999779,100.0
100,0.95,1.1111591803176766,0.0026526451797217656,3.005145700003292,100.0
150,0.6,1.1181590953819078,0.012512089540179815,2.9692843000035887,100.0
150,0.8,1.1120738463149629,0.002426881469843907,2.8275876333306464,100.0
150,0.95,1.1135216228556433,0.003286126959576171,2.727884299999763,100.0
200,0.6,1.1183742254126874,0.006434314728716753,2.4775819666635166,100.0
200,0.8,1.1101711561200998,0.0007443111736808666,2.664220666663217,100.0
200,0.95,1.1114958439948859,0.0022304976017195432,2.548625533328353,100.0
