cooling_rate,iterations_per_temperature,mean_F,std_F,mean_time_s,feasible_pct
0.98,25,0.9599284028746052,0.0026975293953635463,1.1372388666738213,100.0
0.98,50,0.9570148246516842,0.002083904201129142,2.1261020000092685,100.0
0.98,100,0.9593953022172949,0.003065117713646088,3.118290333334395,100.0
0.98,150,0.9597982742500907,0.002508786258136268,3.036794933330384,100.0
0.98,200,0.9652722337391264,0.0017731977356961973,2.994982566665082,100.0
0.985,25,0.9587591220627835,0.0010217576213547095,1.9254982666704261,100.0
0.985,50,0.9560986947607586,0.000903697354293477,2.7068614333353858,100.0
0.985,100,0.955982257790447,0.0017460414810364538,2.775925466659828,100.0
0.985,150,0.9675838965688661,0.002819463797465816,2.6435012000001734,100.0
0.985,200,0.9849360026818498,0.005727747176182444,2.691905866663243,100.0
0.99,25,0.9583989782420901,0.0037387850580267255,2.696884899996803,100.0
0.99,50,0.956862071327515,0.001598501726181686,2.6639797333288393,100.0
0.99,100,0.9673753713768127,0.006950052611926701,2.8002731999974153,100.0
0.99,150,0.9920062168603759,0.00687185582732784,2.8575073666628064,100.0
0.99,200,1.0060435350274748,0.007394868237368989,3.0027386666673315,100.0
0.995,25,0.9717267416867268,0.026871387684537854,2.7292504999980642,100.0
0.995,50,0.9688715139159649,0.006080817794541975,2.7607009333393457,100.0
0.995,100,1.010971102403407,0.0022056658503398665,2.921788566663357,100.0
0.995,150,1.0166586207739579,0.003752437334078521,2.7502251333304835,100.0
0.995,200,1.015881725987991,0.009265274281170995,2.8204555333262156,100.0
0.999,25,1.015469386529733,0.0029592889484306587,2.8361044999959026,100.0
0.999,50,1.0188708338733743,0.0010815811401458015,2.9128750666665533,100.0
0.999,100,1.0171616001993824,0.0037469991918078274,2.8111171333342404,66.66666666666666
0.999,150,1.0147564570595804,0.001699357879981813,2.8658388666663086,100.0
0.999,200,1.0168850664061981,0.0022080942065222666,3.1093241666676477,100.0
