algorithm,seed,best_cost,energy_W,latency_ms,cpu_violation,mem_violation,n_active_servers,feasible,runtime_s
SA,0,38742.9353,14264.0140,24478.9213,0.0000,0.0000,10,True,0.4704
SA,1,38714.3818,13783.0195,24931.3622,0.0000,0.0000,10,True,0.5821
SA,2,38897.9210,14263.8943,24634.0267,0.0000,0.0000,10,True,0.2946
GA,0,37944.8078,13190.0448,24754.7630,0.0000,0.0000,10,True,0.0272
GA,1,37838.5506,13465.1931,24373.3575,0.0000,0.0000,10,True,0.0181
GA,2,37736.2516,13376.6392,24359.6125,0.0000,0.0000,10,True,0.0168
UMDA,0,38627.0096,13713.0332,24913.9764,0.0000,0.0000,10,True,0.0625
UMDA,1,38523.6062,14072.9188,24450.6874,0.0000,0.0000,10,True,0.0363
UMDA,2,38263.4856,13938.9168,24324.5687,0.0000,0.0000,10,True,0.0378
Greedy FFD,0,42883.8691,11921.2051,30962.6640,0.0000,0.0000,5,True,0.0003
Greedy FFD,1,42883.8691,11921.2051,30962.6640,0.0000,0.0000,5,True,0.0003
Greedy FFD,2,42883.8691,11921.2051,30962.6640,0.0000,0.0000,5,True,0.0003
Round-Robin,0,179194.5094,15325.2319,25324.1863,1.0419,27500.6340,10,False,0.0000
Round-Robin,1,179194.5094,15325.2319,25324.1863,1.0419,27500.6340,10,False,0.0000
Round-Robin,2,179194.5094,15325.2319,25324.1863,1.0419,27500.6340,10,False,0.0000
Random,0,169840.4369,15288.2567,25469.5047,86.0183,8612.8759,10,False,0.0001
Random,1,349428.3687,14967.3305,27687.1021,81.3151,45091.7649,10,False,0.0001
Random,2,510668.4542,16163.9879,29597.6235,145.1852,63944.3302,10,False,0.0001
